Food Name,Energy (KJ/100g),Sugars (g/100g),Saturated Fat (g/100g),Salt (g/100g),Proteins (g/100g),Fiber (g/100g),Fruit/Veg (%),Categories,Countries,Barcode,Nutri-Score,Ecoscore,Comprehensive Score,Scaled Score,Category
Chamonix,1460.0,44.0,0.1,0.01,4.0,1.6,0,"Snacks, Snacks sucrés, Biscuits et gâteaux, Biscuits, Biscuits fourrés","en:france, en:switzerland",3017760819121,2,62,26.0,3.5,Good
Crunchy Organic Peanut Butter,2489.0,5.3,8.8,1.0,27.2999992371,7.3,0,"Plant-based foods and beverages, Plant-based foods, Legumes and their products, Spreads, Nuts and their products, Plant-based spreads, Oilseed purees, Legume butters, Nut butters, Peanut butters, Crunchy peanut butters","en:france, en:united-kingdom",5013665108320,3,68,29.000000000000004,3.5,Good
Cracotte framboise,1586.0,33.0,2.3,0.24,5.0,1.8,0,"Snacks,Sweet snacks,Biscuits and cakes,Biscuits,Filled biscuits,Filled extruded crispbreads,Extruded and grilled biscuits with fruits filling",en:france,3041090061639,2,60,25.2,3.5,Average
Primevère doux sans huile de palme,2372.0,0.1,17.0,0.35,0.1,0.0,0,"Plant-based foods and beverages, Plant-based foods, Fats, Spreads, Plant-based spreads, Salted spreads, Spreadable fats, Vegetable fats, Margarines, Light margarines",en:france,3155251204350,2,71,29.6,3.5,Good
Rich and indulgent Hazelnut,122.0,3.2,0.2,0.14,0.4,0.3,0,"Beverages and beverages preparations,Plant-based foods and beverages,Beverages,Plant-based foods,Dairy substitutes,Milk substitutes,Nuts and their products,Plant-based beverages,Plant-based milk alternatives,Nut-based drinks,Hazelnut-based drinks","en:belgium, en:czech-republic, en:finland, en:france, en:germany, en:italy, en:sweden, en:switzerland, en:united-kingdom",5411188110842,4,69,30.0,3.5,Good
P'tit Nature Complet,1750.0,20.0,0.8,0.45,7.6,7.6,0,"Snacks,Snacks sucrés,Biscuits et gâteaux,Biscuits,Gâteaux","en:belgium, en:france, en:french-polynesia, en:luxembourg, en:morocco, en:switzerland",3229820021027,4,70,30.4,3.5,Good
Galettes de riz bio,2025.0,27.0,15.0,0.29,7.0,0.0,0,"Plant-based foods and beverages, Plant-based foods, Cereals and potatoes, Cereals and their products, Crêpes and galettes, Puffed cereal cakes, Galettes, Puffed rice cakes, Puffed rice cakes with milk chocolate",en:france,20116712,1,74,30.200000000000003,3.5,Good
Diet Nature Digestive sin azúcares,1799.0,0.5,1.5,0.88,6.2,6.5,0,"Snacks, Sweet snacks, Biscuits and cakes, Biscuits","en:andorra, en:france, en:morocco, en:portugal, en:senegal, en:spain, en:francia",8410376023831,4,54,24.0,3.5,Average
Brioche tranchée nature ss additif,1440.0,13.9,4.3,1.1,8.4,5.1,0,"Snacks, Snacks sucrés, Viennoiseries, Brioches, Brioches tranchées, Brioches natures",en:france,3228857001323,3,58,25.000000000000004,3.5,Average
Roudor,2154.0,26.0,17.0,1.1,6.2,2.0,0,"Snacks, Snacks sucrés, Biscuits et gâteaux, Biscuits, Biscuits sablés, Palets","en:belgium, en:france, en:switzerland",3023470020016,1,63,25.800000000000004,3.5,Good
"Gerblé - Sugar Free Lemon Yuzu Shortbread, 132g (4.7oz)",1775.0,0.0,1.2,0.22,6.0,5.1,0,"Snacks, Snacks sucrés, Biscuits et gâteaux, Biscuits, Gâteaux, Biscuits sablés","en:belgium, en:france, en:switzerland",3175681134935,5,54,24.6,3.5,Average
Biscuits Soja Figue,1870.0,17.0,1.7,0.36,12.0,5.6,0,"Snacks,Snacks sucrés,Biscuits et gâteaux,Biscuits","en:belgium, en:france, en:morocco, en:reunion, en:switzerland",3175681851863,4,59,26.0,3.5,Average
Melloeux Fruit Rouges,1620.0,22.0,1.1,0.34,5.3,7.2,0,"Lanches comida,Lanches doces,Biscoitos e Bolos,en:Biscuits and crackers,Biscoitos","en:belgium, en:france, en:portugal, en:reunion, en:switzerland",7622210444127,4,54,24.0,3.5,Average
"Gerblé - Sugar Free Sesame Vanilla Cookie, 132g (4.7oz)",1850.0,0.5,1.7,0.725,8.1,4.3,0,"Snacks, Snacks sucrés, Biscuits et gâteaux, Biscuits",en:france,3175681116863,4,54,24.0,3.5,Average
Galettes au bon beurre bio,1914.0,27.0,9.1,0.91,7.9,2.6,0,"Snacks, Snacks sucrés, Biscuits et gâteaux, Crêpes et galettes, Biscuits, Galettes, Galette-au-beurre",en:france,3178530416541,1,74,30.200000000000003,3.5,Good
No Added Sugar Muesli imp,1569.0,16.0,0.9,0.29,11.0,7.8,0,"Plant-based foods and beverages, Plant-based foods, Breakfasts, Cereals and potatoes, Cereals and their products, Breakfast cereals, Cereals with fruits, Mueslis, Mueslis with fruits","en:france, en:germany, en:united-kingdom",5010029219326,5,67,29.8,3.5,Good
Confiture Fraises,1008.0,59.0,0.0,0.0,0.4,1.2,50,"Plant-based foods and beverages, Plant-based foods, Fruits and vegetables based foods, Breakfasts, Spreads, Fruits based foods, Plant-based spreads, Sweet spreads, Fruit and vegetable preserves, Jams, Berry jams, Strawberry jams","en:estonia, en:france",3045320001525,2,70,29.2,3.5,Good
"Fruit D’or Riche En Oméga 3 (sans Huile De Palme, 100% Végétal)",1850.0,0.0,10.0,0.4925,0.0,0.0,0,"Plant-based foods and beverages, Plant-based foods, Fats, Spreads, Plant-based spreads, Salted spreads, Spreadable fats, Vegetable fats, Margarines, Light margarines, Unsalted margarines",en:france,8719200031524,3,62,26.6,3.5,Good
Ice tea,56.0,3.0,0.0,0.03,0.0,0.0,0,"Beverages, Frozen foods, Artificially sweetened beverages, Tea-based beverages, Iced teas, Still soft drink with tea extract, en:sweetened-beverages",en:france,3168930171058,3,62,26.6,3.5,Good
Chocolat noir dégustation aux éclats de framboise (70% cacao),2293.0,29.0,23.6,0.03,8.0,0.0,0,"Snacks,Sweet snacks,Cocoa and its products,Chocolates,Dark chocolates,Dark chocolates with raspberries","en:france, en:italy, en:portugal, en:spain, en:switzerland, en:united-kingdom",20177201,1,64,26.200000000000003,3.5,Good
Strawberry Jam,1023.0,59.0,0.0,0.0,0.4,1.2,0,"Plant-based foods and beverages, Plant-based foods, Fruits and vegetables based foods, Breakfasts, Spreads, Fruits based foods, Plant-based spreads, Sweet spreads, Fruit and vegetable preserves, Jams, Berry jams, Strawberry jams","en:france, en:switzerland, en:united-kingdom",3045320094008,3,71,30.200000000000003,3.5,Good
Sticks Bretzels d'Alsace L'original,1636.0,3.2,2.4,2.8,10.0,6.2,0,"Snacks,Snacks salés,Amuse-gueules,Biscuits apéritifs,Bretzels",en:france,3027030011766,2,70,29.2,3.5,Good
Fourrés chocolat au lait,2037.0,30.0,7.2,0.52,7.5,3.8,0,"Snacks, Snacks sucrés, Biscuits et gâteaux, Biscuits, Biscuits au chocolat, Biscuits fourrés, Biscuits au chocolat au lait","en:france, en:japan, en:switzerland",3229820181950,2,70,29.2,3.5,Good
Chickpeas in Water,531.0,0.5,0.3,0.025,6.7,5.1,0,"Plant-based foods and beverages, Plant-based foods, Legumes and their products, Canned foods, Legumes, Seeds, Canned plant-based foods, Legume seeds, Pulses, Chickpeas, Canned legumes, Canned chickpeas","en:france, en:germany, en:united-kingdom",20475598,5,68,30.200000000000003,3.5,Good
Fourrés chocolat lait noisettes,2190.0,28.0,7.6,0.56,8.0,4.0,0,"Snacks, Desserts, Snacks sucrés, Biscuits et gâteaux, Biscuits, Biscuits au chocolat, Biscuits fourrés",en:france,3229820783673,2,70,29.2,3.5,Good
Cracotte fibres,1540.0,6.3,1.1,1.4,11.0,11.0,0,"Plant-based foods and beverages,Plant-based foods,Snacks,Cereals and potatoes,Extruded crispbreads",en:france,7622300694678,3,61,26.200000000000003,3.5,Good
Goûter aux raisins,1817.0,21.0,1.3,0.0,9.4,6.4,0,"Snacks, Snacks sucrés, Biscuits et gâteaux, Biscuits, Biscuits secs","en:belgium, en:france, en:reunion, en:switzerland",3251491787810,4,63,27.6,3.5,Good
Sésame,1961.0,17.0,2.0,0.38,10.0,4.6,0,"Snacks,Snacks sucrés,Biscuits et gâteaux,Biscuits sucrés & biscuits apéritifs,Biscuits",en:france,3175680011480,4,57,25.2,3.5,Average
Fresh Square 0% - Plain,327.0,1.5,0.1,1.5,17.5,0.0,0,"Dairies,Fermented foods,Fermented milk products,Cheeses,Cream cheeses,Fromages,Fromages à la crème,Produits fermentés,Produits laitiers,Produits laitiers fermentés",en:france,3480341000674,4,55,24.4,3.5,Average
Biscuit soja orange,1866.0,18.0,1.4,0.36,11.0,4.9,0,"Snacks,Petit-déjeuners,Snacks sucrés,Biscuits et gâteaux,Biscuits sucrés & biscuits apéritifs,Biscuits,Biscuits croustillants,Biscuit sec croquant allégé en matière grasse,Biscuits secs,Biscuits sablés,Biscuit sec pour petit déjeuner,Biscuit sec aux fruits","en:france, en:guadeloupe, en:martinique, en:reunion",3175680011442,4,64,28.0,3.5,Good
Monaco,2303.0,5.6,18.0,2.1,12.0,2.4,0,"Snacks,Snacks salés,Amuse-gueules,Biscuits apéritifs","en:belgium, en:france, en:reunion, en:switzerland",7622210998095,1,66,27.000000000000004,3.5,Good
Brioche Tranchée Bio 400g,1413.0,13.0,0.9,0.95,8.8,3.9,0,"Snacks,Breakfasts,Sweet snacks,Sweet pastries and pies,Viennoiseries,Brioches,Pure butter brioche,fr:Brioches tranchées",en:france,3284230006408,4,69,30.0,3.5,Good
Doce Extra Morango,1008.0,57.7,0.1,0.01,0.1,0.5,0,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Breakfasts,Spreads,Fruits based foods,Plant-based spreads,Sweet spreads,Fruit and vegetable preserves,Jams,Berry jams,Marmalades,Strawberry jams","en:belgium, en:china, en:croatia, en:france, en:germany, en:poland",20000653,2,63,26.400000000000002,3.5,Good
Pains au lait x10,1485.0,11.0,4.0,1.1,8.6,3.5,0,"Snacks,Snacks sucrés,en:Sweet pastries and pies,Viennoiseries,Pains au lait","en:belgium, en:france, en:switzerland, en:united-kingdom, en:united-states",3256540000698,3,71,30.200000000000003,3.5,Good
Barista Hafer,257.0,3.4,0.3,0.1,1.1,0.8,0,"Beverages and beverages preparations,Plant-based foods and beverages,Beverages,Plant-based foods,Cereals and potatoes,Dairy substitutes,Cereals and their products,Milk substitutes,Plant-based beverages,Plant-based milk alternatives,Cereal-based drinks,Oat-based drinks","en:france, en:germany, en:netherlands, en:poland, en:switzerland, en:united-kingdom",7394376616501,4,63,27.6,3.5,Good
Fourrés - Chocolat Noir,2017.0,27.0,6.9,0.49,7.6,5.3,0,"Snacks, Snacks sucrés, Biscuits et gâteaux, Biscuits, Biscuits au chocolat, Biscuits fourrés, Biscuits au chocolat noir","en:france, en:luxembourg, en:switzerland",3229820100234,2,70,29.2,3.5,Good
Biscuits pavot citron,1905.0,16.0,1.4,0.36,8.9,5.0,0,"Snacks,Snacks sucrés,Biscuits et gâteaux,Biscuits sucrés & biscuits apéritifs,Biscuits","en:france, en:reunion, en:switzerland",3175681066632,4,61,26.8,3.5,Good
Figue & son,1883.0,16.0,1.7,0.19,9.3,13.0,0,"Snacks,Snacks sucrés,Biscuits et gâteaux,Biscuits sucrés & biscuits apéritifs,Biscuits,Biscuits au son de blé,Biscuits au son de blé et la figue","en:belgium, en:france, en:french-polynesia, en:martinique, en:morocco, en:reunion, en:switzerland",3251490332080,5,60,27.0,3.5,Average
Biscuit raisins,1856.0,17.0,1.2,0.2,8.3,5.1,0,"Snacks,en:biscuits-aux-fruits,en:biscuits-et-gateaux,en:snacks-sucres,Biscuit sec aux fruits",en:france,3175681851856,5,60,27.0,3.5,Average
Véritable Petit Beurre Pocket,1852.0,23.0,7.5,1.3,8.1,3.8,0,"Snacks,Sweet snacks,Biscuits and cakes,Biscuits,Petit-Beurre","en:belgium, en:france, en:guadeloupe, en:lebanon, en:reunion, en:switzerland",3017760000062,2,72,30.0,3.5,Good
La Biscotte 96% de céréales,1707.0,6.8,3.4,1.18,11.0,3.5,0,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Breads,Rusks","en:france, en:reunion",7622210416629,2,66,27.6,3.5,Good
Pomme 🍏 🍎 Noisette🥜,1902.0,11.0,1.5,0.01,9.8,6.6,0,"Snacks,Snacks sucrés,Biscuits et gâteaux,Biscuits,Biscuits secs","en:belgium, en:france, en:french-polynesia, en:germany, en:guadeloupe, en:martinique, en:morocco, en:reunion, en:switzerland",3175681851849,5,60,27.0,3.5,Average
Carré Frais - Nature,802.0,2.5,11.0,1.2,12.0,0.0,0,"Dairies,Fermented foods,Fermented milk products,Cheeses,Spreads,Salted spreads,Pasteurised products,Pasteurized cheeses,Cheese spreads","en:france, en:reunion",3480341000636,2,57,24.0,3.5,Average
Biscuits Germe de Blé et Pépites de Chocolat,1956.0,21.0,2.8,0.69,9.1,4.2,0,"Snacks, Snacks sucrés, Surgelés, Biscuits et gâteaux, Biscuits, Biscuits au chocolat",en:france,4056489369134,3,56,24.200000000000003,3.5,Average
Caprice des dieux,1379.0,0.1,21.0,1.4,15.0,0.0,0,"Produits laitiers,Produits fermentés,Produits laitiers fermentés,Fromages,en:Soft cheeses,Fromages de vache,Fromages à pâte molle à croûte fleurie,Fromages de France,Fromages pasteurisés,Fromages à pâte molle à croûte naturelle,Fromages à pâte molle à croûte lavée","en:egypt, en:france, en:germany, en:morocco, en:spain, en:switzerland",3161711001971,2,57,24.0,3.5,Average
Sablés Anglais L'Original,2025.0,15.1,10.1,1.3,7.0,3.7,0,"Snacks,Snacks sucrés,Biscuits et gâteaux,Biscuits sucrés & biscuits apéritifs,Biscuits,Biscuits sablés","en:france, en:reunion, en:switzerland, en:united-kingdom",5000168198491,1,63,25.800000000000004,3.5,Good
Sour Cream & Onion,2191.0,2.7,6.4,1.3,6.0,3.4,0,"Lanches comida,Petiscos salgados,Aperitivos,en:Chips and fries,en:Crisps,en:Salty snacks made from potato","en:france, en:germany, en:italy, en:martinique, en:mauritius, en:portugal, en:reunion, en:thailand",5053990155354,2,67,28.0,3.5,Good
Chipster,1977.0,0.7,9.2,3.0,4.3,4.0,0,"Snacks, Salty snacks, Appetizers, Crackers, Puffed salty snacks, Puffed salty snacks made from potato","en:canada, en:france, en:guadeloupe, en:switzerland",3056440083193,1,61,25.000000000000004,3.5,Good
Véritable Petit Beurre 🧈,1850.0,23.2,8.0,1.4,8.0,3.2,0,"Snacks,Sweet snacks,Biscuits and cakes,Biscuits,Petit-Beurre,fr:Alimentaire","en:france, en:switzerland",7622210476104,1,63,25.800000000000004,3.5,Good
Organic - Lightly Salted - Wholegrain Low Fat - Rice Cakes imp,1648.0,0.5,0.7,0.295,8.5,0.0,0,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Cereals and their products,Puffed cereal cakes,Puffed rice cakes,Puffed wholegrain rice cakes","en:france, en:united-kingdom",5013665100065,4,69,30.0,3.5,Good
Beurre bio cacahuète,2575.0,5.8,6.8,0.03,26.0,8.3,0,"Plant-based foods and beverages, Plant-based foods, Legumes and their products, Spreads, Plant-based spreads, Oilseed purees, Legume butters, Peanut butters, en:nut-butters",en:france,3760091727732,5,66,29.400000000000002,3.5,Good
Geröstete Mandel Ohne Zucker,56.0,0.0,0.1,0.14,0.4,0.3,0,"en:Beverages and beverages preparations,Alimentos e bebidas à base de plantas,Bebidas,Alimentos à base de plantas,en:Dairy substitutes,Substitutos do leite,Nozes e seus produtos,Bebidas à base de plantas,Leites de planta,Leites de frutos secos,Bebidas de amêndoa","en:albania, en:austria, en:belgium, en:croatia, en:finland, en:france, en:germany, en:greece, en:hungary, en:ireland, en:israel, en:luxembourg, en:netherlands, en:norway, en:poland, en:portugal, en:reunion, en:romania, en:spain, en:sweden, en:switzerland, en:united-kingdom",5411188112709,4,69,30.0,3.5,Good
Cracotte Céréales Complètes,1595.0,8.1,1.0,1.6,11.0,7.5,0,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Snacks,Céréales et pommes de terre,Tartines craquantes extrudées","en:belgium, en:france, en:luxembourg, en:reunion, en:switzerland",3041090063206,3,64,27.400000000000002,3.5,Good
Cookie🍪 cacao pépites Sans Sucre,186.0,0.0,0.4,0.02,0.9,1.0,0,"Snacks,Sweet snacks,Biscuits and cakes,Biscuits,Chocolate biscuits","en:belgium, en:france, en:french-polynesia",3175681105423,5,55,25.0,3.5,Average
Tartine & Cuisson 100% végétal,2368.0,0.0,17.0,0.3,0.0,0.0,0,"Plant-based foods and beverages, Plant-based foods, Fats, Spreads, Plant-based spreads, Salted spreads, Spreadable fats, Vegetable fats, Margarines, Light margarines",en:france,3155251205319,2,62,26.0,3.5,Good
Digestive Avena Choco,1995.0,22.0,4.8,1.0,7.6,6.5,0,"Snacks,Sweet snacks,Biscuits and cakes,Biscuits and crackers,Biscuits,Chocolate biscuits,Wafers,Oatmeal cookies","en:andorra, en:france, en:italy, en:morocco, en:portugal, en:romania, en:spain, en:tunisia",8410376026962,2,62,26.0,3.5,Good
Primevère,2037.0,0.0,14.0,0.4,0.0,0.0,0,"Plant-based foods and beverages, Plant-based foods, Fats, Spreads, Plant-based spreads, Salted spreads, Spreadable fats, Vegetable fats, Margarines, en:light-margarines",en:france,3155250358788,3,69,29.400000000000002,3.5,Good
Oat Drink Barista Edition,255.0,4.0,0.3,0.0975,1.1,0.8,0,"Plant-based foods and beverages,Cereals and potatoes,Dairy substitutes,Milk substitutes,Plant-based beverages,Plant-based milk alternatives,Cereal-based drinks,Oat-based drinks","en:france, en:germany, en:ireland, en:united-kingdom",7394376616228,4,60,26.4,3.5,Average
Ohne Zucker Hafer,167.0,0.0,0.2,0.11,0.2,1.2,0,"Beverages and beverages preparations,Plant-based foods and beverages,Beverages,Plant-based foods,Cereals and potatoes,Dairy substitutes,Cereals and their products,Milk substitutes,Plant-based beverages,Plant-based milk alternatives,Cereal-based drinks,Oat-based drinks","en:belgium, en:finland, en:france, en:germany, en:hungary, en:italy, en:netherlands, en:portugal, en:spain, en:switzerland, en:turkey, en:united-kingdom",5411188124689,5,62,27.8,3.5,Good
Tuc Original,2021.0,7.1,9.0,1.7,8.3,2.4,0,"Imbiss,Salzige Snacks,Vorspeisen,en:Biscuits and crackers,Crackers","en:austria, en:belgium, en:denmark, en:estonia, en:finland, en:france, en:germany, en:italy, en:luxembourg, en:malta, en:morocco, en:netherlands, en:portugal, en:spain, en:sweden, en:switzerland",5410041001204,1,62,25.400000000000002,3.5,Good
Galettes au bon beurre,1976.0,26.0,10.0,0.87,7.4,2.2,0,"Snacks,Snacks sucrés,Biscuits et gâteaux,Biscuits,Biscuits secs,Biscuits sablés,Biscuit sec au beurre,Sablés au beurre","en:belgium, en:france, en:guadeloupe, en:italy, en:martinique, en:switzerland",3023470001015,1,69,28.200000000000003,3.5,Good
Oat,192.0,3.3,0.2,0.0775,0.8,1.4,0,"en:Beverages and beverages preparations,Alimentos e bebidas à base de plantas,Bebidas,Alimentos à base de plantas,Cereais e Batatas,en:Dairy substitutes,Cereais e seus produtos,Substitutos do leite,Bebidas à base de plantas,Leites de planta,Leites de cereais,Bebidas não adoçadas,Bebidas de aveia","en:belgium, en:czech-republic, en:france, en:germany, en:hungary, en:italy, en:united-kingdom",5411188115366,5,61,27.400000000000002,3.5,Good
Goûter 4S Saveur pommes,2150.0,12.2,1.67,0.111,9.11,6.11,0,"Snacks,Snacks sucrés,Biscuits et gâteaux,Biscuits,Biscuits aux fruits","en:france, en:luxembourg, en:reunion, en:switzerland",3175681209282,5,55,25.0,3.5,Average
Biscuits petit déjeuner moelleux aux pépites de chocolat,1678.0,20.0,3.2,0.57,65.9,6.9,0,"Snacks, Breakfasts, Sweet snacks, Biscuits and cakes, Biscuits, Dry biscuits, Breakfast biscuit with cereals fortified with vitamins and chemical elements, en:chocolate-biscuits","en:belgium, en:france, en:switzerland",7622210444141,3,63,27.000000000000004,3.5,Good
Biscuits with cocoa cream,2042.0,30.0,9.5,0.5,8.0,2.5,0,"Snacks,Sweet snacks,Biscuits and cakes,Biscuits","en:france, en:romania",5941194002331,1,47,19.400000000000002,3.0,Average
Biscuits Nutella B-ready x15 gaufrettes fourrées,2177.0,47.1,9.5,0.559,7.2,0.9,0,"Snacks, Snacks sucrés, Biscuits et gâteaux, Biscuits, en:Barres, en:Barres chocolatées, en:Barres chocolatées biscuitées, en:Biscuits et gâteaux, en:Cacao et dérivés, en:Confiseries, en:Confiseries chocolatées, en:Snacks sucrés",en:france,8000500223369,1,44,18.200000000000003,3.0,Average
Emmental râpé,1549.0,0.5,21.0,0.83,27.0,0.0,0,"Produits laitiers, Produits fermentés, Produits laitiers fermentés, Fromages, Fromages de vache, en:cooked-pressed-cheeses, Emmentals, Fromages râpés, Emmentals râpés","en:france, en:germany, en:japan",3228021170046,2,42,18.0,3.0,Average
NESTLE DESSERT Noir 205g,2283.0,46.4,20.2,0.01,6.0,7.3,0,"Snacks, Desserts, Snacks sucrés, Cacao et dérivés, Chocolats, Chocolats noirs",en:france,7613035040700,1,43,17.8,3.0,Average
Brioche moins de sucre,1354.0,9.3,1.1,1.0,8.4,7.2,0,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Snacks, Céréales et pommes de terre, Snacks sucrés, Pains, Viennoiseries, Brioches, Brioches tranchées, Brioches natures",en:france,3228857001378,3,49,21.400000000000002,3.0,Average
Baiocchi,2133.0,23.0,5.0,0.6,8.0,4.0,0,"Snacks,Sweet snacks,Biscuits and cakes,Biscuits,Chocolate biscuits,Shortbread cookies,fr:Biscuits-avec-fourrage-aux-noisettes-et-au-cacao","en:france, en:germany, en:italy, en:spain, en:switzerland",8076809573252,2,55,23.2,3.0,Average
St Môret,851.0,3.0,13.2,1.2,8.3,0.0,0,"Dairies, Fermented foods, Fermented milk products, Cheeses, en:cheese-spreads",en:france,3272770098090,2,50,21.2,3.0,Average
Organic Crisp Bread,1851.0,2.4,4.2,1.8,18.0,10.0,0,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Produits laitiers, Produits fermentés, Snacks, Céréales et pommes de terre, Produits laitiers fermentés, Snacks salés, Amuse-gueules, Fromages, Fromages de vache, Pains, en:cooked-pressed-cheeses, Biscuits apéritifs, Emmentals, Pains croustillants","en:france, en:germany",4033634061020,3,53,23.000000000000004,3.0,Average
Véritable Petit Écolier Chocolat au Lait,2084.0,39.0,14.0,0.63,6.2,2.8,0,"Snacks,Sweet snacks,Biscuits and cakes,Biscuits,Chocolate biscuits,Milk chocolate biscuits,Biscuit with a chocolate bar covering,Biscuit with a milk chocolate bar covering","en:algeria, en:belgium, en:france, en:switzerland",7622210421968,1,52,21.400000000000002,3.0,Average
Intense Dark Organic Chocolate,2512.0,14.0,30.0,0.13,10.0,13.0,0,"Snacks,Sweet snacks,Cocoa and its products,Chocolates,Dark chocolates,Chocolate bars","en:belgium, en:france, en:united-kingdom",7622210584724,2,54,22.8,3.0,Average
Granola L'original,2104.0,36.0,14.0,1.0,5.7,3.3,0,"Snacks, Snacks sucrés, Biscuits et gâteaux, Biscuits, Biscuits au chocolat, Cookies, Cookies au chocolat","en:france, en:switzerland",7622300689124,1,43,17.8,3.0,Average
"BN - Strawberry Cookies, 285g (10oz)",1665.0,32.0,3.7,0.48,5.3,2.5,0,"Snacks, Sweet snacks, Biscuits and cakes, Biscuits, Filled biscuits, Strawberry biscuits","en:belgium, en:france",3061990143372,2,54,22.8,3.0,Average
Chocolat noir Equateur Bio,2641.0,14.0,34.0,0.01,9.0,11.5,0,"Snacks,Sweet snacks,Cocoa and its products,Chocolates,Dark chocolates",en:france,20713713,2,49,20.8,3.0,Average
Chocolat noir 80% Équateur intense et floral,2525.0,19.0,29.0,0.0,9.9,10.0,0,"Snacks, Snacks sucrés, Cacao et dérivés, Confiseries, Chocolats, Chocolats noirs, Chocolats noirs extra fin, Chocolat 80 %","en:france, en:spain, en:switzerland",3760091726667,2,49,20.8,3.0,Average
Weetabix Cereal imp,1515.0,4.1999998092651,0.60000002384186,0.28000000119209,12.0,10.0,0,"Plant-based foods and beverages, Plant-based foods, Breakfasts, Cereals and potatoes, Cereals and their products, Breakfast cereals","en:france, en:spain",5010029000504,5,40,19.0,3.0,Average
"Bonne Maman - Quatre Quarts, 500g (17.6oz)",1794.0,28.0,15.0,0.88,5.9,1.0,0,"Snacks, Desserts, Snacks sucrés, Biscuits et gâteaux, Gâteaux, Quatre-quarts",en:france,3178530405736,1,54,22.200000000000003,3.0,Average
Grany Fraise 🍓 & Framboise,1720.0,4.44,0.6,0.653,5.56,0.8,0,"Snacks, Snacks sucrés, Barres, Barres de céréales, Barres de céréales aux fruits",en:france,3017760502399,3,55,23.8,3.0,Average
Gerblé cacao céréales,1902.0,13.0,2.2,0.17,10.0,6.1,0,"Snacks, Snacks sucrés, Biscuits et gâteaux, Biscuits, Biscuits secs",en:france,3175681261372,5,50,23.0,3.0,Average
Belvita petit déjeuner goût noisette et chocolat,1902.0,26.0,1.8,0.9,7.6,4.3,0,"Snacks, Snacks sucrés, Biscuits et gâteaux, Biscuits",en:france,3017760803991,3,44,19.400000000000002,3.0,Average
Brioche tranchée,1494.0,10.1,3.6,1.03,7.3,1.6,0,"Snacks,Snacks sucrés,en:Sweet pastries and pies,Viennoiseries,Brioches,Brioches tranchées",en:france,20840273,2,50,21.2,3.0,Average
Figolu,1680.0,50.0,3.75,0.000938,4.69,3.12,0,"Snacks, Snacks sucrés, Biscuits et gâteaux, Biscuits, Biscuits fourrés, Biscuits sec fourré à la pâte de fruits","en:france, en:guadeloupe",7622201133337,2,49,20.8,3.0,Average
Coco Sans Sucres,59.0,0.0,1.1,0.07,0.1,0.0,0,"en:Beverages and beverages preparations,Alimentos e bebidas à base de plantas,Bebidas,en:Dairy substitutes,Substitutos do leite,Bebidas à base de plantas,Leites de planta,Produtos pasteurizados,Bebidas de coco","en:belgium, en:croatia, en:france, en:germany, en:hungary, en:italy, en:portugal, en:romania, en:slovenia, en:spain, en:switzerland, en:united-kingdom",5411188128311,4,40,18.4,3.0,Average
Tartine doux,2033.0,0.0,15.0,0.4,0.0,0.0,0,"Plant-based foods and beverages, Plant-based foods, Fats, Spreads, Plant-based spreads, Salted spreads, Spreadable fats, Vegetable fats, Margarines, Light margarines",en:france,3155251205302,3,51,22.200000000000003,3.0,Average
Nestlé Dessert,2285.0,46.4,20.2,0.01,6.0,7.3,0,"Snacks,Desserts,Sweet snacks,Cocoa and its products,Chocolates,Dark chocolates,Dark chocolate bar,Dark chocolate bar for cooking with more than 40% cocoa","en:belgium, en:france, en:germany, en:reunion, en:switzerland",7613035040823,1,43,17.8,3.0,Average
Pains au chocolat,1589.0,14.0,10.0,0.82,7.2,4.8,0,"Snacks,Snacks sucrés,en:Sweet pastries and pies,Viennoiseries,Pains au chocolat",en:france,3256540001008,2,45,19.2,3.0,Average
Thé - Biscuits,1907.0,26.0,6.7,0.7,7.5,3.4,0,"Snacks, Snacks sucrés, Biscuits et gâteaux, Biscuits, Gâteaux secs","en:france, en:new-caledonia, en:reunion, en:switzerland",7622210476296,2,46,19.6,3.0,Average
Crousti'Son Miel 🍯🐝Sésame,1841.0,16.0,1.6,0.26,8.8,12.0,0,"Snacks, Snacks sucrés, Biscuits et gâteaux, Biscuits, Biscuits secs, en:Biscuits et gâteaux, en:Biscuits secs, en:Snacks sucrés","en:france, en:la-reunion, en:suisse",3175681026766,4,52,23.2,3.0,Average
Belvita Original Petit-Déjeuner miel et pépites de chocolat,1864.0,28.0,2.5,0.69,7.3,5.7,0,"Snacks,Petit-déjeuners,Snacks sucrés,Biscuits et gâteaux,Biscuits,Biscuits au chocolat,Biscuit aux céréales pour petit déjeuner enrichis en vitamines et minéraux","en:belgium, en:france, en:french-polynesia, en:reunion, en:switzerland",7622210713889,2,45,19.2,3.0,Average
