Food Name,Energy (KJ/100g),Sugars (g/100g),Saturated Fat (g/100g),Salt (g/100g),Proteins (g/100g),Fiber (g/100g),Fruit/Veg (%),Categories,Countries,Barcode,Nutri-Score,Ecoscore,Comprehensive Score,Scaled Score,Category
Orange Citron à diluer,686.0,36.7,0.0,0.01,0.3,0.0,0,"Plant-based foods and beverages,Beverages,Plant-based beverages,Fruit-based beverages,Syrups,Flavoured syrups,Sweetened beverages",en:france,3124480185266,2,93,38.400000000000006,4.5,Good
Tartines craquantes au sarrasin imp,1631.0,2.6,0.6,0.68,13.4,4.4,0,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Snacks,Céréales et pommes de terre,Pains,Tartines craquantes extrudées,Pains croustillants","en:belgium, en:france, en:netherlands, en:senegal",6175700,5,95,41.0,4.5,Good
"Alpro Joghurtalternative auf Sojabasis, Natur mit Mandeln, 500 g, 31",226.0,2.2,0.4,0.25,3.9,1.1,0,"Plant-based foods and beverages,Fermented foods,Dairy substitutes,Desserts,Non-dairy desserts,Non-dairy fermented foods,Non-dairy yogurts,Soy milk yogurts,Plain soy yogurts","en:belgium, en:france, en:germany, en:ireland, en:italy, en:spain, en:switzerland, en:united-kingdom",5411188118961,5,89,38.6,4.5,Good
Skyr,174.0,2.79,0.0714,0.0643,7.14,0.0,0,"Dairies,Fermented foods,Fermented milk products,Cheeses,Desserts,Dairy desserts,Fermented dairy desserts,Fromages blancs - petit suisses and skyr,Yogurts,Plain fermented dairy desserts,Skyrs,Plain skyrs","en:france, en:germany, en:italy, en:spain, en:switzerland",3033490004743,5,80,35.0,4.0,Good
"Bâtonnets de céréales fourrés (47,5 %) au chocolat - Cracotte Chocolat",1910.0,30.0,5.11,0.263,7.51,4.8,0,"Snacks, Sweet snacks, Biscuits and cakes, Biscuits, Chocolate biscuits, Filled biscuits, Filled extruded crispbreads, Extruded and grilled biscuits with chocolate filling, en:crispbreads","en:belgium, en:france, en:reunion, en:switzerland",3041090061615,2,75,31.2,4.0,Good
Pulco à diluer - Agrumes,691.0,34.4,0.0,0.01,0.6,0.0,0,"Plant-based foods and beverages,Beverages,Plant-based beverages,Fruit-based beverages,Syrups,Flavoured syrups,Still fruit soft drinks,Sweetened beverages",en:france,3225355490925,2,77,32.0,4.0,Good
Petites Madeleines,1753.0,23.0,2.0,0.71,5.5,1.5,0,"Snacks,Zoete snacks,Koekjes en cakes,Cakes,Madeleines,en:Madeleines natures","en:france, en:martinique, en:la-reunion, en:suisse",3178530410105,2,83,34.400000000000006,4.0,Good
Goûter aux écorces confites,1870.0,20.0,1.4,0.03,9.5,6.1,0,"Snacks, Snacks sucrés, Biscuits et gâteaux, Biscuits, Goûter aux écorces confites",en:france,3251491787803,4,73,31.6,4.0,Good
Tomato ketchup 50% moins de sucres & de sel,271.0,11.0,0.0,0.9,1.4,0.0,0,"Plant-based foods and beverages, Plant-based foods, Condiments, Sauces, Tomato sauces, Ketchup, Tomato Ketchup","en:france, en:switzerland",8715700423913,3,78,33.0,4.0,Good
Bio Reiswaffeln mit Salz,1586.0,0.6,0.5,0.32,8.4,0.0,0,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Cereals and their products,Puffed cereal cakes,Puffed rice cakes","en:france, en:germany",20884680,4,71,30.8,4.0,Good
Biscuit lait chocolat,1895.0,22.0,2.7,0.68,10.0,5.9,0,"Snacks,Snacks sucrés,Biscuits et gâteaux,Biscuits,Biscuits au chocolat","en:belgium, en:france, en:guadeloupe, en:martinique, en:morocco, en:reunion, en:senegal, en:switzerland",3175680011534,3,74,31.400000000000002,4.0,Good
Spaghetti N.5,1521.0,3.5,0.5,0.01,13.0,3.0,0,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Cereals and their products,Pastas,Cereal pastas,Dry pastas,Durum wheat pasta,Spaghetti,Dry durum wheat pasta,Durum wheat spaghetti","en:australia, en:austria, en:belgium, en:croatia, en:france, en:germany, en:greece, en:ireland, en:italy, en:liechtenstein, en:luxembourg, en:mexico, en:romania, en:russia, en:serbia, en:spain, en:switzerland, en:thailand, en:united-kingdom, en:united-states",8076800195057,5,73,32.2,4.0,Good
Bio Knusper Müsli Früchte,1130.0,9.0,2.5,0.125,6.0,5.0,0,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Breakfasts,Cereals and potatoes,Cereals and their products,Fruits based foods,Breakfast cereals,Fruits,Cereals with fruits,Mueslis,Berries,Crunchy mueslis,Mueslis with fruits,Crunchy mueslis with fruits","en:belgium, en:france, en:germany",4056489296805,5,78,34.2,4.0,Good
Petits pains grillés blé complet,1717.0,4.2,0.9,1.1,10.0,6.9,0,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Breads,Toasts,Toasted bread rolls",en:france,3564700582633,5,85,37.0,4.0,Good
"Alpro Fermentiertes Sojaprodukt, Ungesüßt 500g",177.0,0.0,0.4,0.24,4.0,0.9,0,"Plant-based foods and beverages,Fermented foods,Dairy substitutes,Desserts,Non-dairy desserts,Non-dairy fermented foods,Non-dairy yogurts,Soy milk yogurts","en:austria, en:belgium, en:finland, en:france, en:germany, en:ireland, en:spain, en:switzerland, en:united-kingdom",5411188118121,5,81,35.4,4.0,Good
Bio napitak od zobi,154.0,4.4,0.1,0.1,0.4,0.0,0,"Plant-based foods and beverages,Beverages,Plant-based foods,Cereals and potatoes,Dairy substitutes,Cereals and their products,Milk substitutes,Plant-based beverages,Plant-based milk alternatives,Cereal-based drinks,Oat-based drinks","en:croatia, en:czech-republic, en:france, en:germany, en:hungary, en:romania, en:slovakia, en:slovenia",4056489041320,4,74,32.0,4.0,Good
Lay's Cuites au four nature,1860.0,5.3,1.4,0.84,5.9,6.2,0,"Plant-based foods and beverages, Plant-based foods, Snacks, Cereals and potatoes, Salty snacks, Appetizers, Chips and fries, Crisps, Crisps made from reconstituted potato, en:potato-crisps","en:belgium, en:france, en:reunion",3168930002987,4,73,31.6,4.0,Good
American Sandwich Nature,1172.0,7.7,0.4,1.1,7.6,3.9,0,"Plant-based foods and beverages, Plant-based foods, Cereals and potatoes, Sandwiches, Breads, Sliced breads",en:france,3228857000838,4,76,32.800000000000004,4.0,Good
