Food Name,Energy (KJ/100g),Sugars (g/100g),Saturated Fat (g/100g),Salt (g/100g),Proteins (g/100g),Fiber (g/100g),Fruit/Veg (%),Nutri-Score,Ecoscore
Tartines craquantes au sarrasin imp,0.4408108108108108,0.026000000000000002,0.010526315789473684,0.04023668639053255,0.20333839150227617,0.06567164179104477,0.0,5,95
Chocolat au lait du Pays Alpin,0.6108108108108108,0.551,0.3263157894736842,0.016331360946745564,0.09999999999999999,0.03402985074626865,0.0,1,33
Belvita Petit Déjeuner Chocolat,0.49891891891891893,0.27,0.06315789473684211,0.03668639053254438,0.11987860394537177,0.10149253731343283,0.0,3,31
Pur beurre de cacahuète,0.7002702702702703,0.051,0.1701754385964912,0.0,0.44006069802731407,0.08208955223880597,0.0,4,68
La gâche tranchée,0.3856756756756757,0.13,0.12982456140350876,0.06523668639053255,0.12291350531107738,0.0,0.0,2,49
Biscottes 6 céréales,0.45891891891891895,0.034,0.042105263157894736,0.09467455621301776,0.19726858877086492,0.07462686567164178,0.0,3,77
Flocons d'avoine,0.4118918918918919,0.017,0.022807017543859647,0.001183431952662722,0.16691957511380878,0.16417910447761194,0.0,5,89
Haferflocken,0.42324324324324325,0.006999999999999999,0.022807017543859647,0.001775147928994083,0.20485584218512898,0.14925373134328357,0.0,5,76
"Lu - Cracotte Original Wheat Slices, 250g (8.8oz)",0.302972972972973,0.035,0.012280701754385963,0.058136094674556216,0.1411229135053111,0.0791044776119403,0.0,5,73
Ohne Zucker Hafer,0.04513513513513514,0.0,0.0035087719298245615,0.006508875739644971,0.0030349013657056147,0.017910447761194027,0.0,5,62
14 Maxi Tranches complet sans sucres ajoutés,0.2772972972972973,0.038,0.005263157894736842,0.07100591715976332,0.13201820940819423,0.09850746268656715,0.0,5,83
nutella,0.6086486486486486,0.563,0.18596491228070175,0.0063313609467455624,0.09559939301972685,0.05223880597014925,0.0,1,21
Excellence 70% Cocoa Intense Dark,0.6351351351351352,0.3,0.42105263157894735,0.00591715976331361,0.14415781487101667,0.0,0.0,1,29
Ricoré original,0.15594594594594594,0.091,0.0017543859649122807,0.013609467455621303,0.04097116843702579,0.6761194029850746,0.0,1,-9
Figolu,0.4540540540540541,0.5,0.06578947368421052,5.550295857988166e-05,0.07116843702579666,0.046567164179104475,0.0,2,49
1848 Chocolat en poudre,0.39864864864864863,0.47000000000000003,0.06315789473684211,0.001183431952662722,0.16691957511380878,0.2537313432835821,0.0,5,-16
Krisprolls complets sans sucres ajoutés,0.45594594594594595,0.011000000000000001,0.015789473684210527,0.06508875739644972,0.19726858877086492,0.12388059701492538,0.0,5,95
Oméga 3® Doux,0.52,0.0,0.2982456140350877,0.02440828402366864,0.0,0.0,0.0,3,62
Pain AMS complet,0.2972972972972973,0.049,0.007017543859649123,0.07100591715976332,0.11684370257966616,0.10746268656716418,0.0,4,85
